# FSPS UV calibration generated by native FSPS v4.0.
# FSPS source: /home/czkong/software/fsps
# Native driver: /home/czkong/GC-BH_Model/FSPS/FSPS_BPASS; IMF: kroupa; SFH: ssp.
# Spectrum is rest-frame vacuum L_nu per initially formed solar mass; no filter integration is used.
# Wavelength: 1450 Angstrom; native bracket: 1449, 1451 Angstrom.
# Age grid: 99 logarithmically spaced points, min=1.0000000000e-04 Gyr, max=0.7643904854974003 Gyr.
# Metallicity grid: 99 points, uniform in log10(Z/Zsun), range=-2.301029986 to 0.3010300054.
# Metallicity interpolation: linear in L_nu between native [Fe/H] points; native range=-2.301029986 to 0.3010300054.
# M_AB = -2.5*log10(L_nu[Lsun/Hz]) - 32.365766193400795.
age_gyr,log10_age_gyr,feh,z_ratio,M1450_AB_per_Msun
1.0955335095e-04,-3.9603743340e+00,-1.3186195811e+00,4.8015385379e-02,-4.2649882586e-02
1.0955335095e-04,-3.9603743340e+00,-1.2920679485e+00,5.1042513404e-02,-4.6146575394e-02
1.0955335095e-04,-3.9603743340e+00,-1.2655163159e+00,5.4260486591e-02,-5.0199388034e-02
1.0955335095e-04,-3.9603743340e+00,-1.2389646834e+00,5.7681336768e-02,-5.4237128665e-02
1.0955335095e-04,-3.9603743340e+00,-1.2124130508e+00,6.1317854306e-02,-5.8259908974e-02
1.0955335095e-04,-3.9603743340e+00,-1.1858614182e+00,6.5183635944e-02,-6.2267839414e-02
1.0955335095e-04,-3.9603743340e+00,-1.1593097857e+00,6.9293135629e-02,-6.6261029215e-02
1.0955335095e-04,-3.9603743340e+00,-1.1327581531e+00,7.3661718555e-02,-7.0239586408e-02
1.0955335095e-04,-3.9603743340e+00,-1.1062065206e+00,7.8305718614e-02,-7.4203617841e-02
1.0955335095e-04,-3.9603743340e+00,-1.0796548880e+00,8.3242499468e-02,-7.8153229197e-02
1.0955335095e-04,-3.9603743340e+00,-1.0531032554e+00,8.8490519472e-02,-8.2088525006e-02
